=9x3
0,-4,
1,-2,
-1,-2,
-3,0,
0,0,
3,0,
1,2,
-1,2,
0,4,
=1x2
SYS_WAFERID,25
=120x13
IDLIN_A04G_PSVT10_X130X230Y230Y1D3_1_d06,,R,uA,-5.844500E+01,-5.608000E+01,-5.739500E+01,-5.757000E+01,-5.575500E+01,-5.806000E+01,-5.793000E+01,-5.603000E+01,-5.899000E+01
IDSAT_A04G_PSVT10_X130X230Y230Y1D3_1_d06,,R,mA,-2.454000E-01,-2.345500E-01,-2.400000E-01,-2.439000E-01,-2.332000E-01,-2.397500E-01,-2.420000E-01,-2.338500E-01,-2.501000E-01
VTHI_A04G_PSVT10_X130X230Y230Y1D3_1_d06,,R,V,-5.606000E-01,-5.657000E-01,-5.415000E-01,-5.542000E-01,-5.611000E-01,-5.478000E-01,-5.428000E-01,-5.587000E-01,-5.452000E-01
IDLIN_A04H_PSVT10_X130X230Y230Y1D5_1_d06,,R,uA,-5.901000E+01,-5.769500E+01,-5.794000E+01,-5.999000E+01,-5.675500E+01,-5.639500E+01,-5.625500E+01,-5.936000E+01,-5.830500E+01
IDSAT_A04H_PSVT10_X130X230Y230Y1D5_1_d06,,R,mA,-2.460500E-01,-2.388500E-01,-2.410000E-01,-2.496000E-01,-2.326500E-01,-2.319500E-01,-2.332500E-01,-2.497000E-01,-2.426000E-01
VTHI_A04H_PSVT10_X130X230Y230Y1D5_1_d06,,R,V,-5.390000E-01,-5.545000E-01,-5.577000E-01,-5.337000E-01,-5.584000E-01,-5.675000E-01,-5.537000E-01,-5.440000E-01,-5.530000E-01
IDLIN_A05A_PSVT10_X130X230Y230Y11_1_d06,,R,uA,-6.131500E+01,-5.790000E+01,-5.861500E+01,-5.763000E+01,-5.769500E+01,-5.859000E+01,-5.679500E+01,-5.967500E+01,-5.992500E+01
IDSAT_A05A_PSVT10_X130X230Y230Y11_1_d06,,R,mA,-2.568000E-01,-2.436000E-01,-2.426000E-01,-2.413500E-01,-2.433000E-01,-2.468500E-01,-2.325000E-01,-2.516000E-01,-2.553500E-01
VTHI_A05A_PSVT10_X130X230Y230Y11_1_d06,,R,V,-5.249000E-01,-5.449000E-01,-5.352000E-01,-5.364000E-01,-5.417000E-01,-5.380000E-01,-5.537000E-01,-5.415000E-01,-5.379000E-01
IDLIN_A05B_PSVT10_X130X230Y230Y12_1_d06,,R,uA,-5.900500E+01,-5.857500E+01,-5.998000E+01,-6.098000E+01,-5.692000E+01,-6.106500E+01,-5.560000E+01,-5.970500E+01,-6.120000E+01
IDSAT_A05B_PSVT10_X130X230Y230Y12_1_d06,,R,mA,-2.477000E-01,-2.423500E-01,-2.507000E-01,-2.623500E-01,-2.348500E-01,-2.574500E-01,-2.250500E-01,-2.546500E-01,-2.612000E-01
VTHI_A05B_PSVT10_X130X230Y230Y12_1_d06,,R,V,-5.493000E-01,-5.532000E-01,-5.413000E-01,-5.250000E-01,-5.659000E-01,-5.410000E-01,-5.681000E-01,-5.386000E-01,-5.261000E-01
IDLIN_A05C_PSVT10_X130X230Y230Y1D15_d12_1,,R,uA,-1.062000E+00,-1.058000E+00,-1.078000E+00,-1.089000E+00,-1.081000E+00,-1.066500E+00,-1.055500E+00,-1.056000E+00,-1.063500E+00
IDSAT_A05C_PSVT10_X130X230Y230Y1D15_d12_1,,R,mA,-4.321000E-03,-4.302000E-03,-4.587000E-03,-4.531000E-03,-4.510000E-03,-4.465500E-03,-4.378000E-03,-4.342000E-03,-4.407000E-03
VTHI_A05C_PSVT10_X130X230Y230Y1D15_d12_1,,R,V,-3.881000E-01,-3.908000E-01,-3.725000E-01,-3.786000E-01,-3.715000E-01,-3.789000E-01,-3.781000E-01,-3.847000E-01,-3.789000E-01
IDLIN_A05D_PSVT10_X130X230Y230Y1D3_d12_1,,R,uA,-1.059500E+00,-1.070500E+00,-1.058000E+00,-1.105500E+00,-1.069500E+00,-1.075000E+00,-1.078000E+00,-1.081000E+00,-1.060500E+00
IDSAT_A05D_PSVT10_X130X230Y230Y1D3_d12_1,,R,mA,-4.349500E-03,-4.354500E-03,-4.363000E-03,-4.605000E-03,-4.453000E-03,-4.491000E-03,-4.463000E-03,-4.334000E-03,-4.300000E-03
VTHI_A05D_PSVT10_X130X230Y230Y1D3_d12_1,,R,V,-3.945000E-01,-3.942000E-01,-3.857000E-01,-3.771000E-01,-3.776000E-01,-3.810000E-01,-3.735000E-01,-4.003000E-01,-3.915000E-01
IDLIN_A05E_PSVT10_X130X230Y230Y1D5_d12_1,,R,uA,-1.074500E+00,-1.053000E+00,-1.067500E+00,-1.069000E+00,-1.054500E+00,-1.062500E+00,-1.075500E+00,-1.079500E+00,-1.069000E+00
IDSAT_A05E_PSVT10_X130X230Y230Y1D5_d12_1,,R,mA,-4.526000E-03,-4.442500E-03,-4.492500E-03,-4.478000E-03,-4.450000E-03,-4.501000E-03,-4.528500E-03,-4.557500E-03,-4.509500E-03
VTHI_A05E_PSVT10_X130X230Y230Y1D5_d12_1,,R,V,-4.082000E-01,-3.993000E-01,-3.907000E-01,-4.023000E-01,-3.930000E-01,-3.907000E-01,-3.954000E-01,-3.829000E-01,-3.848000E-01
IDLIN_A05F_PSVT10_X130X230Y230Y11_d12_1,,R,uA,-1.081000E+00,-1.060500E+00,-1.062500E+00,-1.092500E+00,-1.088500E+00,-1.063500E+00,-1.087000E+00,-1.080500E+00,-1.082500E+00
IDSAT_A05F_PSVT10_X130X230Y230Y11_d12_1,,R,mA,-4.582500E-03,-4.551500E-03,-4.545500E-03,-4.704500E-03,-4.628500E-03,-4.467500E-03,-4.701000E-03,-4.567500E-03,-4.552500E-03
